Subject,Category Check Item,New Category,English,Category Check Items,Criteria,DRI,ISO條文,VDA條文,Type
Man,A0101,"Training / Certificate
訓練 / 認證",Training / Certificate,"Training Schedule
訓練排程","If you have established all year or all quarter exercise plan an execute in sure?
是否有制定整年度或季度的訓練計劃並確實在實施?",HR,ISO 7.2,,A01
Man,A0102,"Training / Certificate
訓練 / 認證",Training / Certificate,"Training Material
訓練教材","Does the training exercise have teaching material?
教育訓練是否備有教材?",HR,IATF 7.2.1,,A01
Man,A0103,"Training / Certificate
訓練 / 認證",Training / Certificate,"Training Material
訓練教材","Defective visual aid material, training material shall be reviewed or updated periodically.
缺點目視輔助教材、訓練教材須定期被審查或更新。",HR,IATF 7.2.1,,A01
Man,A0104,"Training / Certificate
訓練 / 認證",Training / Certificate,"Personnel Certified
人員認證","Whether the instructor has accepted the training?
講師是否受過訓練?(EX:訓練指導員/大姐姐 etc...)",HR,ISO 7.2,,A01
Man,A0105,"Training / Certificate
訓練 / 認證",Training / Certificate,"Personnel Certified
人員認證","Personnel shall be well trained and available training records.
人員須有良好的訓練及有效的訓練紀錄。",HR,IATF 7.2.2,,A01
Man,A0106,"Training / Certificate
訓練 / 認證",Training / Certificate,"Working Instruction
作業指示書","Personnel shall know how to open and use the related manufacturing system. (SPEC / SPC / MES / EMS etc…)
人員須知道如何打開和使用製造相關應用系統。(SPEC / SPC / MES / EMS etc…)",HR,IATF 7.2.1,,A01
Man,A0107,"Training / Certificate
訓練 / 認證",Training / Certificate,"Working Instruction
作業指示書","Personnel shall easily find out operation process or data of the station.
人員能輕易地找出當站的作業流程或資料。",MFG,IATF 7.2.1,,A01
Man,A0108,"Training / Certificate
訓練 / 認證",Training / Certificate,"Product Design Skills
產品設計技能","Weather engineer have ability to handling product and process? Engineers handle automotive/ functional safety/ cybersecurity products should also have ability to meet requirement.
業務相關人員(直接/間接)是否有能力符合產品及製程上的需求？負責車用產品/ 安全性產品之人員亦需具備車用產品/ 功能安全/ 網宇安全產品之能力需求。",HR,IATF 7.2.1,,A01
Man,A0109,"Training / Certificate
訓練 / 認證",Training / Certificate,"Handing Skill
操作技能","New personnel (without qualification ) can't operate the machine alone.
新進人員(尚未認證)操作機台須有資深人員陪同不可單獨操作機台。",MFG,IATF 7.2.2,,A01
Man,A0110,"Training / Certificate
訓練 / 認證",Training / Certificate,"Handing Skill
操作技能","Personnel shall operate with the work flow familiarly. Ex: Machine handling, product inspection, customer special request.
人員必須熟練其作業流程。例如：機台操作、產品檢驗、客戶特殊需求。",MFG,IATF 8.5.4.1,,A01
Man,A0111,"Training / Certificate
訓練 / 認證",Training / Certificate,"Certificated
資格認證","Personnel shall have qualification certificate of the station, EHS, automotive/functional safety/ cybersecurity, ESD, security or customer special request when operating the machine.?
人員 操作當站機台 須有當站、一般環安衛、車用/ 功能安全/ 網宇安全、ESD、資安或客戶特殊需求的資格/能力認證或評鑑…等；且須在有效期限內。",MFG,IATF 7.2.2,,A01
Man,A0112,"Training / Certificate
訓練 / 認證",Training / Certificate,"Certificated
資格認證","Personnel qualification certificate or training record shall be prior to expiration date.
人員資格卡或訓練紀錄須在有效期限內。",HR,IATF 7.2.1,,A01
Man,A0113,"Training / Certificate
訓練 / 認證",Training / Certificate,"Special Certificated
特殊認證","Whether you will execute to supervise again aiming at the member that can't contact his origin job for a long time or work efficiency is very low?
對於許久未接觸原來工作或有品質重大異常之人員工作效率較差之人員，是否實施再鑑定?",HR,IATF 7.2.2,,A01
